"Step","SHF-Accum-v2-128 - score_train_avg","SHF-Accum-v2-128 - score_train_avg__MIN","SHF-Accum-v2-128 - score_train_avg__MAX","SHF-Accum-v2-64 - score_train_avg","SHF-Accum-v2-64 - score_train_avg__MIN","SHF-Accum-v2-64 - score_train_avg__MAX","SHF-Accum-v2-32 - score_train_avg","SHF-Accum-v2-32 - score_train_avg__MIN","SHF-Accum-v2-32 - score_train_avg__MAX","SHF-Accum-v2-16 - score_train_avg","SHF-Accum-v2-16 - score_train_avg__MIN","SHF-Accum-v2-16 - score_train_avg__MAX","SHF-Accum-v2-8 - score_train_avg","SHF-Accum-v2-8 - score_train_avg__MIN","SHF-Accum-v2-8 - score_train_avg__MAX","SHF-Accum-v2-4 - score_train_avg","SHF-Accum-v2-4 - score_train_avg__MIN","SHF-Accum-v2-4 - score_train_avg__MAX","SHF-Accum-v2-3 - score_train_avg","SHF-Accum-v2-3 - score_train_avg__MIN","SHF-Accum-v2-3 - score_train_avg__MAX","SHF-Accum-v2-2 - score_train_avg","SHF-Accum-v2-2 - score_train_avg__MIN","SHF-Accum-v2-2 - score_train_avg__MAX","SHF-Accum-v2-1 - score_train_avg","SHF-Accum-v2-1 - score_train_avg__MIN","SHF-Accum-v2-1 - score_train_avg__MAX","SHF-Accum-v2-0 - score_train_avg","SHF-Accum-v2-0 - score_train_avg__MIN","SHF-Accum-v2-0 - score_train_avg__MAX"
"40","","","","","","","","","","","","","-3.0882370471954346","-3.0882370471954346","-3.0882370471954346","-3.142569065093994","-3.142569065093994","-3.142569065093994","","","","-2.9411182403564453","-2.9411182403564453","-2.9411182403564453","-0.27090978622436523","-0.27090978622436523","-0.27090978622436523","","",""
"41","","","","","","","","","","","","","","","","","","","","","","","","","-1.1630859375","-1.1630859375","-1.1630859375","","",""
"42","","","","","","","","","","","","","","","","","","","-0.4258631070454915","-0.4258631070454915","-0.4258631070454915","-0.5331544876098633","-0.5331544876098633","-0.5331544876098633","0.2522726058959961","0.2522726058959961","0.2522726058959961","","",""
"43","","","","","","","","","","","","","","","","","","","","","","","","","-2.67724609375","-2.67724609375","-2.67724609375","","",""
"44","","","","","","","","","","","","","","","","-0.902570903301239","-0.902570903301239","-0.902570903301239","","","","-1.447361946105957","-1.447361946105957","-1.447361946105957","0.112274169921875","0.112274169921875","0.112274169921875","","",""
"45","","","","","","","","","","","","","","","","","","","-1.0358521143595378","-1.0358521143595378","-1.0358521143595378","","","","-0.4450836181640625","-0.4450836181640625","-0.4450836181640625","","",""
"46","","","","","","","","","","","","","","","","","","","","","","-1.3398666381835938","-1.3398666381835938","-1.3398666381835938","-2.239990234375","-2.239990234375","-2.239990234375","","",""
"47","","","","","","","","","","","","","","","","","","","","","","","","","-3.0625","-3.0625","-3.0625","","",""
"48","","","","","","","","","","-2.2514718025922775","-2.2514718025922775","-2.2514718025922775","-1.6053447127342224","-1.6053447127342224","-1.6053447127342224","-2.0939407348632812","-2.0939407348632812","-2.0939407348632812","-2.7482096354166665","-2.7482096354166665","-2.7482096354166665","-2.720703125","-2.720703125","-2.720703125","-2.43115234375","-2.43115234375","-2.43115234375","","",""
"49","","","","","","","","","","","","","","","","","","","","","","","","","-1.2886962890625","-1.2886962890625","-1.2886962890625","","",""
